Strength,Extraction,Result
0.8,14,Weak Under Developed
0.85,14,Weak Under Developed
0.9,14,Weak Under Developed
0.95,14,Weak Under Developed
1,14,Weak Under Developed
1.05,14,Weak Under Developed
1.1,14,Weak Under Developed
1.15,14,Under Developed
1.2,14,Under Developed
1.25,14,Under Developed
1.3,14,Under Developed
1.35,14,Under Developed
1.4,14,Strong Under Developed
1.45,14,Strong Under Developed
1.5,14,Strong Under Developed
1.55,14,Strong Under Developed
1.6,14,Strong Under Developed
0.8,15,Weak Under Developed
0.85,15,Weak Under Developed
0.9,15,Weak Under Developed
0.95,15,Weak Under Developed
1,15,Weak Under Developed
1.05,15,Weak Under Developed
1.1,15,Weak Under Developed
1.15,15,Under Developed
1.2,15,Under Developed
1.25,15,Under Developed
1.3,15,Under Developed
1.35,15,Under Developed
1.4,15,Strong Under Developed
1.45,15,Strong Under Developed
1.5,15,Strong Under Developed
1.55,15,Strong Under Developed
1.6,15,Strong Under Developed
0.8,16,Weak Under Developed
0.85,16,Weak Under Developed
0.9,16,Weak Under Developed
0.95,16,Weak Under Developed
1,16,Weak Under Developed
1.05,16,Weak Under Developed
1.1,16,Weak Under Developed
1.15,16,Under Developed
1.2,16,Under Developed
1.25,16,Under Developed
1.3,16,Under Developed
1.35,16,Under Developed
1.4,16,Strong Under Developed
1.45,16,Strong Under Developed
1.5,16,Strong Under Developed
1.55,16,Strong Under Developed
1.6,16,Strong Under Developed
0.8,17,Weak Under Developed
0.85,17,Weak Under Developed
0.9,17,Weak Under Developed
0.95,17,Weak Under Developed
1,17,Weak Under Developed
1.05,17,Weak Under Developed
1.1,17,Weak Under Developed
1.15,17,Under Developed
1.2,17,Under Developed
1.25,17,Under Developed
1.3,17,Under Developed
1.35,17,Under Developed
1.4,17,Strong Under Developed
1.45,17,Strong Under Developed
1.5,17,Strong Under Developed
1.55,17,Strong Under Developed
1.6,17,Strong Under Developed
0.8,18,Weak Under Developed
0.85,18,Weak Under Developed
0.9,18,Weak Under Developed
0.95,18,Weak Under Developed
1,18,Weak Under Developed
1.05,18,Weak Under Developed
1.1,18,Weak Under Developed
1.15,18,Under Developed
1.2,18,Under Developed
1.25,18,Under Developed
1.3,18,Under Developed
1.35,18,Under Developed
1.4,18,Strong Under Developed
1.45,18,Strong Under Developed
1.5,18,Strong Under Developed
1.55,18,Strong Under Developed
1.6,18,Strong Under Developed
0.8,19,Weak
0.85,19,Weak
0.9,19,Weak
0.95,19,Weak
1,19,Weak
1.05,19,Weak
1.1,19,Weak
1.15,19,Ideal Optimum Balance
1.2,19,Ideal Optimum Balance
1.25,19,Ideal Optimum Balance
1.3,19,Ideal Optimum Balance
